,Energy [eV]
984,492.11968
985,492.6197
986,493.11972
987,493.61974
988,494.11976
989,494.61978
990,495.1198
991,495.61982
992,496.11984
993,496.61986
994,497.11988
995,497.6199
996,498.11992
997,498.61994
998,499.11996
999,499.61998
1000,500.12
1001,500.62002
1002,501.12004
1003,501.62006
1004,502.12008
1005,502.6201
1006,503.12012
1007,503.62014
1008,504.12016
1009,504.62018
1010,505.1202
1011,505.62022
1012,506.12024
1013,506.62026
1014,507.12028
1015,507.6203
1016,508.12032
1017,508.62034
1018,509.12036
1019,509.62038
1020,510.1204
1021,510.62042
1022,511.12044
1023,511.62046
1024,512.12048
1025,512.6205
1026,513.12052
1027,513.62054
1028,514.12056
1029,514.62058
1030,515.1206
1031,515.62062
1032,516.12064
1033,516.62066
1034,517.12068
1035,517.6207
1036,518.12072
1037,518.62074
1038,519.12076
1039,519.62078
1040,520.1208
1041,520.62082
1042,521.12084
1043,521.62086
1044,522.12088
1045,522.6209
1046,523.12092
1047,523.62094
1048,524.12096
1049,524.62098
1050,525.121
1051,525.62102
1052,526.12104
1053,526.62106
1054,527.12108
1055,527.6211
1056,528.12112
1057,528.62114
1058,529.12116
1059,529.62118
1060,530.1212
1061,530.62122
1062,531.12124
1063,531.62126
1064,532.12128
1065,532.6213
1066,533.12132
1067,533.62134
1068,534.12136
1069,534.62138
1070,535.1214
1071,535.62142
1072,536.12144
1073,536.62146
1074,537.12148
1075,537.6215
1076,538.12152
1077,538.62154
1078,539.12156
1079,539.62158
1080,540.1216
1081,540.62162
1082,541.12164
1083,541.62166
1084,542.12168
1085,542.6217
1086,543.12172
1087,543.62174
1088,544.12176
1089,544.62178
1090,545.1218
1091,545.62182
1092,546.12184
1093,546.62186
1094,547.12188
1095,547.6219
1096,548.12192
1097,548.62194
1098,549.12196
1099,549.62198
1100,550.122
1101,550.62202
1102,551.12204
1103,551.62206
1104,552.12208
1105,552.6221
1106,553.12212
1107,553.62214
1108,554.12216
1109,554.62218
1110,555.1222
1111,555.62222
1112,556.12224
1113,556.62226
1114,557.12228
1115,557.6223
1116,558.12232
1117,558.62234
1118,559.12236
1119,559.62238
1120,560.1224
1121,560.62242
1122,561.12244
1123,561.62246
1124,562.12248
1125,562.6225
1126,563.12252
1127,563.62254
1128,564.12256
1129,564.62258
1130,565.1226
1131,565.62262
1132,566.12264
1133,566.62266
1134,567.12268
1135,567.6227
1136,568.12272
1137,568.62274
1138,569.12276
1139,569.62278
1140,570.1228
1141,570.62282
1142,571.12284
1143,571.62286
1144,572.12288
1145,572.6229
1146,573.12292
1147,573.62294
1148,574.12296
1149,574.62298
1150,575.123
1151,575.62302
1152,576.12304
1153,576.62306
1154,577.12308
1155,577.6231
1156,578.12312
1157,578.62314
1158,579.12316
1159,579.62318
1160,580.1232
1161,580.62322
1162,581.12324
1163,581.62326
1164,582.12328
1165,582.6233
1166,583.12332
1167,583.62334
1168,584.12336
1169,584.62338
1170,585.1234
1171,585.62342
1172,586.12344
1173,586.62346
1174,587.12348
1175,587.6235
1176,588.12352
1177,588.62354
1178,589.12356
1179,589.62358
1180,590.1236
1181,590.62362
1182,591.12364
1183,591.62366
1184,592.12368
1185,592.6237
1186,593.12372
1187,593.62374
1188,594.12376
1189,594.62378
1190,595.1238
1191,595.62382
1192,596.12384
1193,596.62386
1194,597.12388
1195,597.6239
1196,598.12392
1197,598.62394
1198,599.12396
1199,599.62398
1200,600.124
1201,600.62402
1202,601.12404
1203,601.62406
1204,602.12408
1205,602.6241
1206,603.12412
1207,603.62414
1208,604.12416
1209,604.62418
1210,605.1242
1211,605.62422
1212,606.12424
1213,606.62426
1214,607.12428
1215,607.6243
1216,608.12432
1217,608.62434
1218,609.12436
1219,609.62438
1220,610.1244
1221,610.62442
