,time [fs]
1439,5.544112271559982e-14
1440,5.5535959253252956e-14
1441,5.5630682063424375e-14
1442,5.5724718743858427e-14
1443,5.58189631941457e-14
1444,5.591368521063638e-14
1445,5.60084167641056e-14
1446,5.6103742478918444e-14
1447,5.619999076793559e-14
1448,5.629587856305702e-14
1449,5.639125834414013e-14
1450,5.648696732639826e-14
1451,5.6582330012671644e-14
1452,5.667697357421352e-14
1453,5.677260838377171e-14
1454,5.686999898865015e-14
1455,5.696724872615344e-14
1456,5.706335790531838e-14
1457,5.715999101292334e-14
1458,5.725757338415246e-14
1459,5.73544216001455e-14
1460,5.745055274240333e-14
1461,5.754755390854878e-14
1462,5.764521667141338e-14
1463,5.774258036050854e-14
1464,5.784063499423747e-14
1465,5.793968892128504e-14
1466,5.80380985808859e-14
1467,5.81356350488338e-14
1468,5.823401224738378e-14
1469,5.833340948634667e-14
1470,5.84322183515574e-14
1471,5.853085077174913e-14
1472,5.863060787405018e-14
1473,5.873014318429628e-14
1474,5.882881728270108e-14
1475,5.892852327854849e-14
1476,5.90291731911689e-14
1477,5.912865412173593e-14
1478,5.922737014791913e-14
1479,5.932768065759542e-14
1480,5.942891444084903e-14
1481,5.952881726231615e-14
1482,5.962867183135887e-14
1483,5.973040865850335e-14
1484,5.983219226983187e-14
1485,5.993262163527882e-14
1486,6.003382309115407e-14
1487,6.013673460787227e-14
1488,6.023951648190059e-14
1489,6.034171109093655e-14
1490,6.044488309125858e-14
1491,6.05487205265147e-14
1492,6.065107666718673e-14
1493,6.075274524235865e-14
1494,6.085592053493354e-14
1495,6.095935089896451e-14
1496,6.106211977648928e-14
1497,6.116629108148726e-14
1498,6.127130800095006e-14
1499,6.13749367056892e-14
1500,6.147854345804923e-14
1501,6.158400913521906e-14
1502,6.168982332282721e-14
1503,6.179506762236807e-14
1504,6.190158032053573e-14
1505,6.200814176667322e-14
1506,6.211153428703414e-14
1507,6.221384449402934e-14
1508,6.231904665863408e-14
1509,6.242663012929282e-14
1510,6.253366624590731e-14
1511,6.263917609596827e-14
1512,6.274500976252851e-14
1513,6.28517243694073e-14
1514,6.295826828780603e-14
1515,6.306592959833283e-14
1516,6.317437935930194e-14
1517,6.328182926066467e-14
1518,6.339001322568519e-14
1519,6.349937108106852e-14
1520,6.360757186980506e-14
1521,6.371511382456832e-14
1522,6.38243613729627e-14
1523,6.393512825831646e-14
1524,6.404478299617665e-14
1525,6.415329443221819e-14
1526,6.426323312242105e-14
1527,6.437412618431153e-14
1528,6.448445248222718e-14
1529,6.45946692921867e-14
1530,6.470411504397525e-14
1531,6.481285943221376e-14
1532,6.492287371898185e-14
1533,6.50337917901614e-14
1534,6.514404697320152e-14
1535,6.525475745819158e-14
1536,6.536755676419812e-14
1537,6.548181945298449e-14
1538,6.559584088869735e-14
1539,6.570847536830789e-14
1540,6.581937298691167e-14
1541,6.59290817021296e-14
1542,6.603884041384842e-14
1543,6.61502024306665e-14
1544,6.626523794339124e-14
1545,6.638186509021648e-14
1546,6.649460054441753e-14
1547,6.660500563108037e-14
1548,6.671832580983392e-14
1549,6.683256801024798e-14
1550,6.694419306881699e-14
1551,6.705561911186686e-14
1552,6.716842667398009e-14
1553,6.728054340811012e-14
1554,6.739261687497917e-14
1555,6.750570564145927e-14
1556,6.761784818001655e-14
1557,6.773012698327205e-14
1558,6.784564992428976e-14
1559,6.796166765738325e-14
1560,6.807463712400974e-14
1561,6.818726478170384e-14
1562,6.830197669900997e-14
1563,6.841671118623151e-14
1564,6.853077560922588e-14
1565,6.86460469379779e-14
1566,6.87617584796609e-14
1567,6.887561709743251e-14
1568,6.898974632311315e-14
1569,6.910673787525215e-14
1570,6.922331765990101e-14
1571,6.933801183888089e-14
1572,6.94557056093411e-14
1573,6.957616460014608e-14
1574,6.969286164352378e-14
1575,6.980676875337303e-14
1576,6.992393917659791e-14
1577,7.004250341429462e-14
1578,7.015849745327588e-14
1579,7.027469954382631e-14
1580,7.039353490474158e-14
1581,7.051338225288941e-14
1582,7.063456607490157e-14
1583,7.075769119174964e-14
1584,7.087936658406711e-14
1585,7.09990544378054e-14
1586,7.111955373890832e-14
1587,7.124013370959197e-14
1588,7.13599619814735e-14
1589,7.148113050007705e-14
1590,7.16034438365205e-14
1591,7.172522084277449e-14
1592,7.184845769938643e-14
1593,7.197410869857724e-14
1594,7.209816296330324e-14
1595,7.221999497140801e-14
1596,7.234367131941364e-14
1597,7.246951171619385e-14
1598,7.259481625847641e-14
1599,7.271989690267711e-14
1600,7.284677276970504e-14
1601,7.297415619351176e-14
1602,7.31007869950485e-14
1603,7.322765804814742e-14
1604,7.335576839492711e-14
1605,7.348419957770225e-14
1606,7.361155589699343e-14
1607,7.373923587127738e-14
1608,7.386734135146839e-14
1609,7.399469397438274e-14
1610,7.41231507378949e-14
1611,7.425306680846087e-14
1612,7.43825028620699e-14
1613,7.451240183408416e-14
1614,7.464528134876398e-14
1615,7.477987011334101e-14
1616,7.491324393479058e-14
1617,7.504473643076597e-14
