,max,min
95,6.6521915499999995,0.0
96,6.6518885999999995,0.0
97,6.651424475000001,0.0
98,6.651032900000001,0.0
99,6.650605274999999,0.0
100,6.650142675,0.0
101,6.6496461,0.0
102,6.649116299999999,0.0
103,6.648553875,0.0
104,6.647959350000001,0.0
105,6.647332974999999,0.0
106,6.646674925,0.0
107,6.6462187,0.0
108,6.6455079,0.0
109,6.64501635,0.0
110,6.6442524249999995,0.0
111,6.64372525,0.0
112,6.64290745,0.0
113,6.64234405,0.0
114,6.641766,0.0
115,6.640871175,0.0
116,6.640255874999999,0.0
117,6.639625525,0.0
118,6.638979975,0.0
119,6.638318975000001,0.0
120,6.637642575,0.0
121,6.6369505,0.0
122,6.63624265,0.0
123,6.6355189249999995,0.0
124,6.634779100000001,0.0
125,6.6340231,0.0
126,6.633250725,0.0
127,6.632858349999999,0.0
128,6.63206115,0.0
129,6.631247175,0.0
130,6.630416299999999,0.0
131,6.62999445,0.0
132,6.6291378,0.0
133,6.628263799999999,0.0
134,6.62782025,0.0
135,6.6269199,0.0
136,6.626462975,0.0
137,6.625534374999999,0.0
138,6.625062675,0.0
139,6.624104325,0.0
140,6.623617575,0.0
141,6.622628775,0.0
142,6.622126725,0.0
143,6.62110705,0.0
144,6.620589375,0.0
145,6.620066425,0.0
146,6.6190045500000005,0.0
147,6.618465575000001,0.0
148,6.617921225,0.0
149,6.616816074999999,0.0
150,6.616255275,0.0
151,6.6156889,0.0
152,6.61511695,0.0
153,6.614539350000001,0.0
154,6.6133671,0.0
155,6.6127724,0.0
156,6.6121719,0.0
157,6.611565575,0.0
158,6.610953375,0.0
159,6.61033525,0.0
160,6.6090811,0.0
161,6.608445025,0.0
162,6.60780285,0.0
163,6.607154550000001,0.0
164,6.60650005,0.0
165,6.605839400000001,0.0
166,6.605172425,0.0
167,6.604499175,0.0
168,6.60381955,0.0
169,6.60313355,0.0
170,6.602441075,0.0
171,6.6017421249999995,0.0
172,6.6010366000000005,0.0
173,6.600324525,0.0
174,6.599605775000001,0.0
175,6.59888035,0.0
176,6.59814815,0.0
177,6.597409150000001,0.0
178,6.596663325,0.0
179,6.5959106,0.0
180,6.5959106,0.0
181,6.59515095,0.0
182,6.594384249999999,0.0
183,6.593610525,0.0
184,6.59282965,0.0
185,6.592041624999999,0.0
186,6.591246425,0.0
187,6.5904439,0.0
188,6.5904439,0.0
189,6.5896340250000005,0.0
190,6.588816799999999,0.0
191,6.587992125,0.0
192,6.587159975,0.0
193,6.587159975,0.0
194,6.5863202,0.0
195,6.585472875,0.0
196,6.584617850000001,0.0
197,6.583755075,0.0
198,6.583755075,0.0
199,6.58288455,0.0
200,6.582006175,0.0
201,6.58111985,0.0
202,6.58111985,0.0
203,6.580225574999999,0.0
204,6.5793233,0.0
205,6.5793233,0.0
206,6.578412925,0.0
207,6.577494375000001,0.0
208,6.576567600000001,0.0
209,6.576567600000001,0.0
210,6.575632625000001,0.0
211,6.574689275,0.0
212,6.574689275,0.0
213,6.573737524999999,0.0
214,6.572777325000001,0.0
215,6.572777325000001,0.0
216,6.571808625,0.0
217,6.57083135,0.0
218,6.57083135,0.0
219,6.5698454,0.0
220,6.568850775,0.0
221,6.568850775,0.0
222,6.5678474,0.0
223,6.566835125000001,0.0
224,6.566835125000001,0.0
225,6.565814,0.0
226,6.565814,0.0
227,6.564783925,0.0
228,6.563744825000001,0.0
229,6.563744825000001,0.0
230,6.5626966,0.0
231,6.5626966,0.0
232,6.561639225,0.0
233,6.5605726749999995,0.0
234,6.5605726749999995,0.0
235,6.55949685,0.0
236,6.55949685,0.0
237,6.55841165,0.0
238,6.55841165,0.0
239,6.55731705,0.0
240,6.556212974999999,0.0
241,6.556212974999999,0.0
242,6.555099374999999,0.0
243,6.555099374999999,0.0
244,6.5539761500000004,0.0
245,6.5539761500000004,0.0
246,6.552843275,0.0
247,6.552843275,0.0
248,6.551700674999999,0.0
249,6.551068849999999,0.0
250,6.55054825,0.0
251,6.550105475,0.0
252,6.549386,0.0
253,6.549145900000001,0.0
254,6.5482138249999995,0.0
255,6.548190075000001,0.0
256,6.547237975,0.0
257,6.547237975,0.0
258,6.546289574999999,0.0
259,6.546289574999999,0.0
260,6.545344925,0.0
261,6.545344925,0.0
262,6.544403925,0.0
263,6.544403925,0.0
264,6.543466625,0.0
265,6.543466625,0.0
266,6.54253295,0.0
267,6.54253295,0.0
268,6.541602975,0.0
269,6.541602975,0.0
270,6.540676574999999,0.0
271,6.540676574999999,0.0
272,6.53975385,0.0
273,6.53975385,0.0
274,6.53883465,0.0
275,6.53883465,0.0
276,6.53791905,0.0
277,6.53791905,0.0
278,6.53700705,0.0
279,6.53700705,0.0
280,6.536098625,0.0
281,6.536098625,0.0
282,6.5351937,0.0
283,6.5351937,0.0
284,6.534292325,0.0
285,6.534292325,0.0
286,6.534292325,0.0
287,6.5333945,0.0
288,6.5333945,0.0
289,6.5325001,0.0
290,6.5325001,0.0
291,6.5316092,0.0
292,6.5316092,0.0
293,6.530721775,0.0
294,6.530721775,0.0
295,6.5298378249999995,0.0
296,6.5298378249999995,0.0
297,6.5289573,0.0
298,6.5289573,0.0
299,6.5280802,0.0
300,6.5280802,0.0
301,6.527206525,0.0
302,6.527206525,0.0
303,6.5263362250000005,0.0
304,6.5263362250000005,0.0
305,6.525469325,0.0
306,6.525469325,0.0
307,6.524612749999999,0.0
308,6.524612749999999,0.0
309,6.5242512999999995,0.0
310,6.5242512999999995,0.0
311,6.523891300000001,0.0
312,6.523891300000001,0.0
313,6.523532724999999,0.0
314,6.523532724999999,0.0
315,6.5231756,0.0
316,6.5231756,0.0
317,6.522819875,0.0
318,6.522819875,0.0
319,6.522465524999999,0.0
320,6.522465524999999,0.0
321,6.522112600000001,0.0
322,6.522112600000001,0.0
323,6.521761075000001,0.0
324,6.521761075000001,0.0
325,6.52141095,0.0
326,6.52141095,0.0
327,6.52106225,0.0
328,6.52106225,0.0
329,6.5207149499999995,0.0
330,6.5207149499999995,0.0
331,6.520369024999999,0.0
332,6.520369024999999,0.0
333,6.520024475,0.0
334,6.520024475,0.0
335,6.5196813,0.0
336,6.5196813,0.0
337,6.519339525,0.0
338,6.519339525,0.0
339,6.5189991,0.0
340,6.5189991,0.0
341,6.518660025,0.0
342,6.518660025,0.0
343,6.518322375,0.0
344,6.518322375,0.0
345,6.517986049999999,0.0
346,6.517986049999999,0.0
347,6.5176511,0.0
348,6.5176511,0.0
349,6.517317475,0.0
350,6.517317475,0.0
351,6.516985225,0.0
352,6.516985225,0.0
353,6.5166543,0.0
354,6.5166543,0.0
355,6.5163247250000005,0.0
356,6.5163247250000005,0.0
357,6.5163247250000005,0.0
358,6.515996475,0.0
359,6.515996475,0.0
360,6.5156696,0.0
361,6.5156696,0.0
362,6.515344000000001,0.0
363,6.515344000000001,0.0
364,6.51501975,0.0
365,6.51501975,0.0
366,6.514696799999999,0.0
367,6.514696799999999,0.0
368,6.514375149999999,0.0
369,6.514375149999999,0.0
370,6.5140548250000005,0.0
371,6.5140548250000005,0.0
372,6.5137358,0.0
373,6.5137358,0.0
374,6.513418075,0.0
