,time [fs]
1196,3.6303032526339145e-14
1197,3.636431669408763e-14
1198,3.642565909943692e-14
1199,3.6487231175332525e-14
1200,3.654887181401722e-14
1201,3.6610363520316225e-14
1202,3.667181265641805e-14
1203,3.673350135177022e-14
1204,3.679543706827937e-14
1205,3.6857396289929104e-14
1206,3.691931797464456e-14
1207,3.6981307494037024e-14
1208,3.704340353326762e-14
1209,3.710556868722691e-14
1210,3.7167723570221776e-14
1211,3.722976946449112e-14
1212,3.7291760061684666e-14
1213,3.73538757978972e-14
1214,3.7416117577308036e-14
1215,3.7478310066729084e-14
1216,3.754044748250831e-14
1217,3.760269376812116e-14
1218,3.766508203185464e-14
1219,3.7727463377291847e-14
1220,3.778970898866884e-14
1221,3.78518545878128e-14
1222,3.791404773522679e-14
1223,3.797634165103543e-14
1224,3.803857629739076e-14
1225,3.810062286417571e-14
1226,3.816263605764355e-14
1227,3.8224809651591584e-14
1228,3.828702452818185e-14
1229,3.8349053278169434e-14
1230,3.8410977293633155e-14
1231,3.847305424082485e-14
1232,3.8535295241626524e-14
1233,3.8597508223921596e-14
1234,3.865959609332814e-14
1235,3.8721578804997526e-14
1236,3.878353512589268e-14
1237,3.884559087734834e-14
1238,3.890778388568927e-14
1239,3.897002815372205e-14
1240,3.9032254124246946e-14
1241,3.9094470803526306e-14
1242,3.915670501153276e-14
1243,3.9218895772297066e-14
1244,3.928095762820141e-14
1245,3.934296386898588e-14
1246,3.9405070376607905e-14
1247,3.946723047212381e-14
1248,3.952923850498597e-14
1249,3.9591133100671844e-14
1250,3.965315989402066e-14
1251,3.9715293981319706e-14
1252,3.977726506012582e-14
1253,3.983905128926904e-14
1254,3.990092561463872e-14
1255,3.9963004622053606e-14
1256,4.0025123784635055e-14
1257,4.008714097218297e-14
1258,4.014902525563947e-14
1259,4.021079492610098e-14
1260,4.0272592867408355e-14
1261,4.033455532177052e-14
1262,4.0396599308504874e-14
1263,4.0458559002193733e-14
1264,4.052041012776841e-14
1265,4.0582264010155447e-14
1266,4.064422334592564e-14
1267,4.07062633540044e-14
1268,4.076825779477662e-14
1269,4.0830164992160575e-14
1270,4.089211587151874e-14
1271,4.0954211948746455e-14
1272,4.101633966765171e-14
1273,4.107834790194753e-14
1274,4.114031214753975e-14
1275,4.1202431208593417e-14
1276,4.126471074925405e-14
1277,4.1326946045120906e-14
1278,4.138907355367914e-14
