,Energy [eV]
659,659.15932
660,660.15941
661,661.1595
662,662.15959
663,663.15968
664,664.15977
665,665.15986
666,666.15995
667,667.16004
668,668.16013
669,669.16022
670,670.16031
671,671.1604
672,672.16049
673,673.16058
674,674.16067
675,675.16076
676,676.16085
677,677.16094
678,678.16103
679,679.16112
680,680.16121
681,681.1613
682,682.16139
683,683.16148
684,684.16157
685,685.16166
686,686.16175
687,687.16184
688,688.16193
689,689.16202
690,690.16211
691,691.1622
692,692.16229
693,693.16238
694,694.16247
695,695.16256
696,696.16265
697,697.16274
698,698.16283
699,699.16292
700,700.16301
701,701.1631
702,702.16319
703,703.16328
704,704.16337
705,705.16346
706,706.16355
707,707.16364
708,708.16373
709,709.16382
710,710.16391
711,711.164
712,712.16409
713,713.16418
714,714.16427
715,715.16436
716,716.16445
717,717.16454
718,718.16463
719,719.16472
720,720.16481
721,721.1649
722,722.16499
723,723.16508
724,724.16517
725,725.16526
726,726.16535
727,727.16544
728,728.16553
729,729.16562
730,730.16571
731,731.1658
732,732.16589
733,733.16598
734,734.16607
735,735.16616
736,736.16625
737,737.16634
738,738.16643
739,739.16652
740,740.16661
741,741.1667
742,742.16679
743,743.16688
744,744.16697
745,745.16706
746,746.16715
747,747.16724
748,748.16733
749,749.16742
750,750.16751
751,751.1676
752,752.16769
753,753.16778
754,754.16787
755,755.16796
756,756.16805
757,757.16814
758,758.16823
759,759.16832
760,760.16841
761,761.1685
762,762.16859
763,763.16868
764,764.16877
765,765.16886
766,766.16895
767,767.16904
768,768.16913
769,769.16922
770,770.16931
771,771.1694
772,772.16949
773,773.16958
774,774.16967
775,775.16976
776,776.16985
777,777.16994
778,778.17003
779,779.17012
780,780.17021
781,781.1703
782,782.17039
783,783.17048
784,784.17057
785,785.17066
786,786.17075
787,787.17084
788,788.17093
789,789.17102
790,790.17111
791,791.1712
792,792.17129
793,793.17138
794,794.17147
795,795.17156
796,796.17165
797,797.17174
798,798.17183
799,799.17192
800,800.17201
801,801.1721
802,802.17219
803,803.17228
804,804.17237
805,805.17246
806,806.17255
807,807.17264
808,808.17273
809,809.17282
810,810.17291
811,811.173
812,812.17309
813,813.17318
814,814.17327
815,815.17336
816,816.17345
817,817.17354
818,818.17363
819,819.17372
820,820.17381
821,821.1739
822,822.17399
823,823.17408
824,824.17417
825,825.17426
826,826.17435
827,827.17444
828,828.17453
829,829.17462
830,830.17471
831,831.1748
832,832.17489
833,833.17498
834,834.17507
835,835.17516
836,836.17525
837,837.17534
838,838.17543
839,839.17552
840,840.17561
841,841.1757
842,842.17579
843,843.17588
844,844.17597
845,845.17606
846,846.17615
847,847.17624
848,848.17633
849,849.17642
850,850.17651
851,851.1766
852,852.17669
853,853.17678
854,854.17687
855,855.17696
856,856.17705
857,857.17714
858,858.17723
859,859.17732
860,860.17741
861,861.1775
862,862.17759
863,863.17768
864,864.17777
865,865.17786
866,866.17795
867,867.17804
868,868.17813
869,869.17822
870,870.17831
871,871.1784
872,872.17849
873,873.17858
874,874.17867
875,875.17876
876,876.17885
877,877.17894
878,878.17903
879,879.17912
880,880.17921
881,881.1793
882,882.17939
883,883.17948
884,884.17957
885,885.17966
886,886.17975
887,887.17984
888,888.17993
889,889.18002
890,890.18011
891,891.1802
892,892.18029
893,893.18038
894,894.18047
895,895.18056
896,896.18065
897,897.18074
898,898.18083
899,899.18092
900,900.18101
901,901.1811
902,902.18119
903,903.18128
904,904.18137
905,905.18146
906,906.18155
907,907.18164
908,908.18173
909,909.18182
910,910.18191
911,911.182
912,912.18209
913,913.18218
914,914.18227
915,915.18236
916,916.18245
917,917.18254
918,918.18263
919,919.18272
920,920.18281
921,921.1829
922,922.18299
923,923.18308
924,924.18317
925,925.18326
926,926.18335
927,927.18344
928,928.18353
929,929.18362
930,930.18371
931,931.1838
932,932.18389
933,933.18398
934,934.18407
935,935.18416
936,936.18425
937,937.18434
938,938.18443
939,939.18452
940,940.18461
941,941.1847
942,942.18479
943,943.18488
944,944.18497
945,945.18506
946,946.18515
947,947.18524
948,948.18533
949,949.18542
950,950.18551
951,951.1856
952,952.18569
953,953.18578
954,954.18587
955,955.18596
956,956.18605
957,957.18614
958,958.18623
959,959.18632
960,960.18641
961,961.1865
962,962.18659
963,963.18668
964,964.18677
965,965.18686
966,966.18695
967,967.18704
968,968.18713
969,969.18722
970,970.18731
971,971.1874
972,972.18749
973,973.18758
974,974.18767
975,975.18776
976,976.18785
977,977.18794
978,978.18803
979,979.18812
980,980.18821
981,981.1883
982,982.18839
983,983.18848
984,984.18857
985,985.18866
986,986.18875
987,987.18884
988,988.18893
989,989.18902
990,990.18911
991,991.1892
992,992.18929
993,993.18938
994,994.18947
995,995.18956
996,996.18965
997,997.18974
998,998.18983
999,999.18992
1000,1000.19
1001,1001.1901
1002,1002.1902
1003,1003.1903
1004,1004.1904
1005,1005.1905
1006,1006.1905
1007,1007.1906
1008,1008.1907
1009,1009.1908
1010,1010.1909
1011,1011.191
1012,1012.1911
1013,1013.1912
1014,1014.1913
1015,1015.1914
1016,1016.1914
1017,1017.1915
1018,1018.1916
1019,1019.1917
1020,1020.1918
1021,1021.1919
1022,1022.192
1023,1023.1921
1024,1024.1922
1025,1025.1923
1026,1026.1923
1027,1027.1924
1028,1028.1925
1029,1029.1926
1030,1030.1927
1031,1031.1928
1032,1032.1929
1033,1033.193
1034,1034.1931
1035,1035.1932
1036,1036.1932
1037,1037.1933
1038,1038.1934
1039,1039.1935
1040,1040.1936
1041,1041.1937
1042,1042.1938
1043,1043.1939
1044,1044.194
1045,1045.1941
1046,1046.1941
1047,1047.1942
1048,1048.1943
1049,1049.1944
1050,1050.1945
1051,1051.1946
1052,1052.1947
1053,1053.1948
1054,1054.1949
1055,1055.195
1056,1056.195
1057,1057.1951
1058,1058.1952
1059,1059.1953
1060,1060.1954
1061,1061.1955
1062,1062.1956
1063,1063.1957
1064,1064.1958
1065,1065.1959
1066,1066.1959
1067,1067.196
1068,1068.1961
1069,1069.1962
1070,1070.1963
1071,1071.1964
1072,1072.1965
1073,1073.1966
1074,1074.1967
1075,1075.1968
1076,1076.1968
1077,1077.1969
1078,1078.197
1079,1079.1971
1080,1080.1972
1081,1081.1973
1082,1082.1974
1083,1083.1975
1084,1084.1976
1085,1085.1977
1086,1086.1977
1087,1087.1978
1088,1088.1979
1089,1089.198
1090,1090.1981
1091,1091.1982
1092,1092.1983
1093,1093.1984
1094,1094.1985
1095,1095.1986
1096,1096.1986
1097,1097.1987
1098,1098.1988
1099,1099.1989
1100,1100.199
1101,1101.1991
1102,1102.1992
1103,1103.1993
1104,1104.1994
1105,1105.1995
